Ref_No,Year,Authors,Title,Synthesis_Group,Architecture,PCF_Domain,Target_Property,Dataset_Size_N,Effect_Metric,Effect_Value,Effect_SE,Reported_R2,Reported_RMSE,Reported_MAE,Reported_Accuracy,Inference_Time_ms,Comparator,Simulation_Tool,Validation_Type,Fabrication_Validation,Open_Data,Risk_or_QS_Total,Heterogeneity_Notes,Extraction_Status
199,2024,"Liang, Q., et al.",Score-based generative model for inverse design of hollow-core nested anti-resonant nodeless fiber,Inverse / generative design,DDPM / diffusion / score-based,Hollow-core / anti-resonant PCF,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
200,2026,"Song, H., et al.",Multi-agent reinforcement learning for autonomous exploration of high-dimensional PCF design spaces with surrogate environment,Inverse / generative design,Reinforcement learning / DQN / PPO,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
201,2021,"Fan, X., et al.",ANN surrogate for joint prediction of birefringence and dispersion in elliptic-hole PCF with small core,Classical ML,ANN / MLP / BPNN,Optical communications / nonlinear optics,chromatic/group velocity dispersion; birefringence,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
202,2022,"Zheng, C., et al.",DNN-driven parametric space exploration for PM-PCF in fiber Bragg grating sensing,Deep learning,DNN / deep neural network,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
203,2023,"Dong, J., et al.",Multi-physics surrogate DNN coupling optical and thermo-mechanical properties of PCF for high-power delivery,Deep learning,DNN / deep neural network,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
204,2024,"Wu, F., et al.",Active learning-guided design of low-loss large-pitch PCF for attosecond science,Hybrid AI-metaheuristic / optimizer,Bayesian optimization / active learning,General PCF modeling / design,confinement loss,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
205,2024,"Lin, H., et al.",GAN inverse design for PCF supporting orbital angular momentum (OAM) mode propagation with low crosstalk,Inverse / generative design,GAN / cGAN,Optical communications / nonlinear optics,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
206,2025,"Xue, Z., et al.",Diffusion-based conditional generation of twisted PCF structures for fiber OAM multiplexing,Inverse / generative design,DDPM / diffusion / score-based,Optical communications / nonlinear optics,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
207,2022,"Chiang, T., et al.",RF-based feature importance analysis for identifying dominant geometric parameters in THz porous-core fiber,Classical ML,Random forest,THz PCF waveguides,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
208,2023,"Kaur, V., et al.",Deep learning surrogate for simultaneous optimization of sensitivity and FOM in PCF-SPR label-free biosensors,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
209,2024,"Monika, M. I., et al.",Vision Transformer-XGBoost ensemble for plasmonic PCF sensor parameter prediction with uncertainty quantification,Deep learning,Transformer / attention / ViT,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
210,2025,"Hossain, M. B., et al.",Physics-guided ensemble learning for confinement loss prediction in D-shaped PCF with metallic overlay,Deep learning,PINN / physics-informed,General PCF modeling / design,confinement loss,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
211,2022,"Chen, J., et al.",Graph convolutional network for irregular PCF hole topology representation and property prediction,Deep learning,GNN / graph neural network,General PCF modeling / design,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
212,2023,"Zhou, Y., et al.",Topological deep learning for photonic crystal fiber with non-Euclidean air-hole arrangement,Deep learning,GNN / graph neural network,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
213,2023,"Wang, R., et al.",Generative inverse design of PCF with arbitrary 2D hole pattern for custom dispersion engineering via score-based diffusion,Inverse / generative design,DDPM / diffusion / score-based,Optical communications / nonlinear optics,chromatic/group velocity dispersion; geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
214,2024,"Liu, X., et al.","Multi-conditional DDPM for simultaneous dispersion, nonlinearity, and loss co-optimization in micro-structured fibers",Inverse / generative design,DDPM / diffusion / score-based,Optical communications / nonlinear optics,confinement loss; chromatic/group velocity dispersion; nonlinear coefficient / supercontinuum,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
215,2024,"Bi, W., et al.",Self-supervised pre-training on unlabeled PCF cross-section images for improved supervised surrogate modeling,Deep learning,Foundation / self-supervised / federated,General PCF modeling / design,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
216,2025,"Zhao, L., et al.",Foundation model pre-training with 10 million simulated PCF spectra for universal photonic property prediction,Deep learning,Foundation / self-supervised / federated,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
217,2022,"Tang, Y., et al.",Bayesian neural network surrogate with aleatoric and epistemic uncertainty quantification for PCF design under fabrication variability,Classical ML,ANN / MLP / BPNN,Fabrication / digital twin / SEM inspection,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
218,2023,"Meng, Q., et al.",Uncertainty-aware deep learning for robust PCF-SPR sensor design under gold-layer deposition variability,Deep learning,DNN / deep neural network,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
219,2024,"Peng, X., et al.",Conformal prediction intervals for DNN-based PCF property prediction: Rigorous coverage guarantees for photonic surrogate models,Deep learning,DNN / deep neural network,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
220,2025,"Xiao, J., et al.",Equivariant neural network surrogate for PCF design respecting rotational symmetry of cladding lattice,Classical ML,ANN / MLP / BPNN,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
221,2022,"Guo, L., et al.",DNN-assisted optimization of double-clad PCF for high-power Er:Yb fiber lasers with reduced photodarkening,Deep learning,DNN / deep neural network,Fiber lasers / high-power delivery,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
222,2023,"Huang, W., et al.",Machine learning design of chirped-pitch PCF for ultrashort pulse delivery in biomedical endoscopy,Classical ML,Machine learning general,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
223,2024,"Song, Z., et al.",Inverse design of high-sensitivity PCF hydrogen sensor via conditional VAE with fabrication constraint penalty,Inverse / generative design,VAE / beta-VAE / CVAE,Chemical / gas / liquid sensing,sensitivity / FOM / RIU; geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
224,2026,"He, J., et al.","Autonomous AI-driven closed-loop PCF fabrication system integrating digital twin, RL agent, and drawing tower feedback",Background / non-AI / requires coding,Not explicit in title - full-text extraction needed,Fabrication / digital twin / SEM inspection,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
225,2026,"Wei, T., et al.",Comparative validation of structural-realizability metrics for diffusion-model-generated photonic crystal fiber geometries against drawing-tower fabrication constraints,Inverse / generative design,DDPM / diffusion / score-based,Fabrication / digital twin / SEM inspection,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
